         57271582 function calls (54968906 primitive calls) in 59.123 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1   11.915   11.915   59.124   59.124 /Users/h.t/program/Ramsey/book_c1toc6_multi_cProfile.py:86(calculate_A)
7412361/5315209   10.614    0.000   17.001    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  1118481    3.714    0.000   15.136    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/scipy/linalg/_special_matrices.py:221(circulant)
  5312785    3.930    0.000   14.096    0.000 <__array_function__ internals>:177(concatenate)
  1048576    0.733    0.000   11.452    0.000 <__array_function__ internals>:177(vstack)
  1048576    1.467    0.000    9.058    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:223(vstack)
  1118481    4.844    0.000    7.795    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/lib/stride_tricks.py:38(as_strided)
  1107670    4.468    0.000    4.468    0.000 /Users/h.t/program/Ramsey/book_c1toc6_multi_cProfile.py:9(set_indices)
  1048576    0.674    0.000    4.351    0.000 <__array_function__ internals>:177(atleast_2d)
  2236962    2.428    0.000    3.229    0.000 /Users/h.t/program/Ramsey/book_c1toc6_multi_cProfile.py:45(triu_numba)
  1048576    2.194    0.000    3.039    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:81(atleast_2d)
        3    0.000    0.000    2.789    0.930 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:388(_compile_for_args)
     56/3    0.001    0.000    2.783    0.928 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:915(compile)
     16/3    0.000    0.000    2.782    0.927 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:124(compile)
     16/3    0.000    0.000    2.782    0.927 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:131(_compile_cached)
     16/3    0.001    0.000    2.782    0.927 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/dispatcher.py:146(_compile_core)
     16/3    0.000    0.000    2.782    0.927 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:744(compile_extra)
  876/327    0.002    0.000    2.376    0.007 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_lock.py:32(_acquire_compile_lock)
  2236962    2.197    0.000    2.197    0.000 {built-in method numpy.asarray}
     21/3    0.000    0.000    2.046    0.682 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:455(compile_extra)
     21/3    0.000    0.000    2.044    0.681 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:524(_compile_bytecode)
     21/3    0.000    0.000    2.044    0.681 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler.py:478(_compile_core)
     21/3    0.002    0.000    2.043    0.681 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_machinery.py:342(run)
   546/78    0.014    0.000    2.041    0.026 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_machinery.py:268(_runPass)
 1638/234    0.003    0.000    1.999    0.009 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/compiler_machinery.py:272(check)
  1118481    1.082    0.000    1.488    0.000 /Users/h.t/program/Ramsey/book_c1toc6_multi_cProfile.py:38(integer_to_binary)
    21/15    0.001    0.000    1.412    0.094 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/typed_passes.py:435(run_pass)
  3355443    1.207    0.000    1.207    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/serialize.py:30(_numba_unpickle)
  1048576    0.452    0.000    1.100    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numpy/core/shape_base.py:218(_vhstack_dispatcher)
  366/305    0.006    0.000    1.023    0.003 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/types/functions.py:281(get_call_type)
  398/314    0.000    0.000    1.008    0.003 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/typing/context.py:189(resolve_function_type)
  398/314    0.001    0.000    1.006    0.003 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/typing/context.py:233(_resolve_user_function_type)
     21/7    0.000    0.000    0.995    0.142 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/numba/core/typed_passes.py:103(run_pass)
