         8608 function calls (8426 primitive calls) in 44.411 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       79   41.130    0.521   41.130    0.521 {method 'acquire' of '_thread.lock' objects}
        3    2.994    0.998    2.994    0.998 {built-in method builtins.input}
       42    0.189    0.005    0.189    0.005 {built-in method posix.read}
        1    0.028    0.028    0.028    0.028 {method 'poll' of 'select.poll' objects}
       13    0.012    0.001    0.012    0.001 {built-in method marshal.loads}
       57    0.010    0.000    0.010    0.000 {built-in method posix.waitpid}
       10    0.010    0.001    0.010    0.001 {built-in method _posixsubprocess.fork_exec}
       26    0.002    0.000    0.003    0.000 {method 'dump' of '_pickle.Pickler' objects}
        9    0.002    0.000    0.023    0.003 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/popen_spawn_posix.py:38(_launch)
        6    0.002    0.000    0.002    0.000 {built-in method _imp.create_dynamic}
       13    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
        9    0.001    0.000    0.001    0.000 {built-in method io.open}
       71    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       18    0.001    0.000    0.001    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/util.py:186(__init__)
     63/4    0.001    0.000    0.009    0.002 {built-in method builtins.exec}
        9    0.001    0.000    0.002    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/spawn.py:154(get_preparation_data)
        9    0.001    0.000    0.023    0.003 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/popen_fork.py:15(__init__)
        1    0.001    0.001    0.024    0.024 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/pool.py:314(_repopulate_pool_static)
       10    0.001    0.000    0.011    0.001 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/util.py:447(spawnv_passfds)
       36    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
        1    0.001    0.001    0.001    0.001 {method 'acquire' of '_multiprocessing.SemLock' objects}
       75    0.001    0.000    0.001    0.000 {built-in method posix.stat}
        9    0.001    0.000    0.025    0.003 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/process.py:110(start)
       13    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        9    0.001    0.000    0.001    0.000 {built-in method posix.getcwd}
        9    0.000    0.000    0.001    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/process.py:80(__init__)
       18    0.000    0.000    0.005    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/reduction.py:58(dump)
        9    0.000    0.000    0.024    0.003 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/context.py:285(_Popen)
       43    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
