         22297 function calls (22115 primitive calls) in 107.985 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       83  101.742    1.226  101.742    1.226 {method 'acquire' of '_thread.lock' objects}
        3    5.759    1.920    5.759    1.920 {built-in method builtins.input}
       52    0.367    0.007    0.367    0.007 {built-in method posix.read}
        1    0.035    0.035    0.035    0.035 {method 'poll' of 'select.poll' objects}
       10    0.013    0.001    0.013    0.001 {built-in method _posixsubprocess.fork_exec}
       17    0.007    0.000    0.014    0.001 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/tqdm/std.py:352(format_meter)
       59    0.005    0.000    0.005    0.000 {built-in method posix.waitpid}
       16    0.003    0.000    0.003    0.000 {built-in method now}
       13    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
        9    0.003    0.000    0.029    0.003 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/popen_spawn_posix.py:38(_launch)
       28    0.002    0.000    0.004    0.000 {method 'dump' of '_pickle.Pickler' objects}
        8    0.002    0.000    0.002    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/process.py:128(terminate)
       13    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
     5762    0.002    0.000    0.003    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/site-packages/tqdm/utils.py:306(<genexpr>)
        9    0.001    0.000    0.001    0.000 {built-in method io.open}
        7    0.001    0.000    0.001    0.000 {built-in method _imp.create_dynamic}
       19    0.001    0.000    0.001    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/util.py:186(__init__)
        9    0.001    0.000    0.031    0.003 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/popen_fork.py:15(__init__)
     5711    0.001    0.000    0.001    0.000 {built-in method unicodedata.east_asian_width}
       10    0.001    0.000    0.014    0.001 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/util.py:447(spawnv_passfds)
        1    0.001    0.001    0.001    0.001 {built-in method utcfromtimestamp}
       38    0.001    0.000    0.001    0.000 {method 'copy' of 'dict' objects}
       19    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       62    0.001    0.000    0.001    0.000 {built-in method posix.write}
       71    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
     63/4    0.001    0.000    0.007    0.002 {built-in method builtins.exec}
        9    0.001    0.000    0.033    0.004 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/process.py:110(start)
        9    0.001    0.000    0.002    0.000 /Users/h.t/.asdf/installs/python/3.11.1/lib/python3.11/multiprocessing/spawn.py:154(get_preparation_data)
       51    0.001    0.000    0.003    0.000 {built-in method builtins.sum}
       21    0.001    0.000    0.001    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
