Result 1 B3:
Index, Spine, Page
7, (1, 2), (0, 3, 4)
11, (2, 4), (0, 3, 6)
15, (0, 1), (2, 3, 4)
23, (0, 2), (1, 3, 5)
27, (1, 2), (0, 3, 6)
29, (0, 4), (1, 3, 5)
30, (2, 4), (0, 6, 7)
31, (0, 1), (2, 3, 4)
39, (0, 3), (1, 2, 6)
42, (2, 4), (0, 6, 8)
43, (0, 2), (1, 4, 6)
45, (1, 4), (0, 5, 7)
46, (0, 6), (2, 3, 4)
47, (0, 1), (2, 3, 4)
51, (1, 2), (0, 3, 7)
53, (0, 6), (1, 3, 5)
54, (2, 5), (0, 7, 8)
55, (0, 1), (2, 3, 6)
57, (0, 5), (1, 4, 6)
58, (2, 4), (0, 6, 8)
59, (0, 1), (2, 5, 6)
61, (0, 1), (4, 5, 6)
62, (0, 2), (4, 5, 6)
63, (0, 1), (2, 3, 4)
71, (1, 2), (0, 3, 4)
75, (2, 4), (0, 3, 6)
77, (0, 4), (1, 3, 7)
78, (3, 7), (0, 5, 10)
79, (0, 1), (2, 3, 4)
83, (5, 7), (0, 6, 12)
86, (0, 5), (2, 3, 7)
87, (0, 2), (1, 3, 5)
90, (2, 4), (0, 6, 9)
91, (0, 2), (1, 4, 7)
93, (0, 4), (1, 3, 5)
94, (0, 2), (4, 5, 7)
95, (0, 1), (2, 3, 4)
99, (1, 2), (0, 3, 8)
101, (1, 7), (0, 4, 8)
103, (0, 1), (2, 3, 7)
106, (2, 4), (0, 6, 8)
107, (0, 2), (1, 4, 6)
108, (3, 6), (0, 9, 10)
109, (0, 3), (4, 6, 7)
110, (0, 4), (2, 6, 7)
111, (0, 1), (2, 3, 4)
113, (0, 6), (1, 5, 7)
115, (0, 1), (2, 6, 7)
117, (0, 6), (1, 3, 5)
118, (0, 5), (2, 3, 7)
119, (0, 1), (2, 3, 6)
121, (0, 1), (5, 6, 7)
122, (0, 2), (4, 6, 7)
123, (0, 1), (2, 5, 6)
124, (3, 6), (0, 9, 10)
125, (0, 1), (4, 5, 6)
126, (0, 2), (4, 5, 6)
127, (0, 1), (2, 3, 4)
135, (1, 2), (0, 3, 4)
138, (4, 8), (0, 6, 12)
139, (2, 4), (0, 3, 6)
141, (0, 4), (1, 3, 8)
142, (4, 8), (0, 6, 12)
143, (0, 1), (2, 3, 4)
150, (0, 5), (2, 3, 8)
151, (0, 2), (1, 3, 5)
153, (1, 5), (0, 6, 9)
154, (4, 8), (0, 6, 12)
155, (0, 4), (2, 5, 8)
156, (0, 8), (3, 4, 5)
157, (0, 4), (1, 3, 5)
158, (0, 5), (2, 3, 8)
159, (0, 1), (2, 3, 4)
163, (6, 8), (0, 7, 14)
166, (2, 8), (0, 5, 10)
167, (0, 2), (1, 3, 8)
170, (0, 2), (4, 6, 8)
171, (0, 2), (1, 4, 6)
173, (0, 4), (1, 3, 8)
174, (0, 2), (4, 6, 8)
175, (0, 1), (2, 3, 4)
179, (0, 6), (1, 5, 8)
180, (3, 6), (0, 9, 11)
181, (0, 6), (1, 3, 5)
182, (0, 3), (5, 6, 8)
183, (0, 1), (2, 3, 6)
185, (0, 5), (1, 4, 6)
186, (0, 2), (4, 6, 8)
187, (0, 1), (2, 5, 6)
188, (0, 8), (3, 4, 5)
189, (0, 1), (4, 5, 6)
190, (0, 2), (4, 5, 6)
191, (0, 1), (2, 3, 4)
195, (1, 2), (0, 3, 9)
199, (0, 1), (2, 3, 8)
201, (0, 8), (1, 4, 7)
202, (4, 8), (0, 6, 12)
203, (0, 8), (1, 4, 7)
204, (3, 7), (0, 10, 11)
205, (0, 4), (1, 3, 7)
206, (0, 4), (2, 7, 8)
207, (0, 1), (2, 3, 4)
211, (0, 7), (2, 5, 8)
213, (0, 8), (1, 3, 5)
214, (0, 5), (2, 3, 7)
215, (0, 1), (2, 3, 8)
217, (0, 8), (1, 4, 7)
218, (2, 4), (0, 6, 9)
219, (0, 1), (2, 5, 8)
220, (0, 8), (3, 4, 5)
221, (0, 1), (4, 5, 8)
222, (0, 2), (4, 5, 7)
223, (0, 1), (2, 3, 4)
225, (0, 7), (1, 6, 8)
